volume_turn,"pi*radius_cylinder_1^2*pi*(r_in_1+r_out_1)/2",
width_cylinder_chem_chamber_1,"20[um]","Length of the cylinder where the chemical reaction takes place."
width_cylinder_in_1,"1.4[mm]","Length of the cilinder input 1"
width_cylinder_out_1,"1.4[mm]","Length of the cilinder output 1"
width_inlet_chem_chamber_1,"2[um]","Length of the inlet in the chemical reaction 1"
x_out_1,"x0_in_1+(width_cylinder_out_1)*cos(-angle_turn_1_rad)-(y0_in_1-y0_in_1)*sin(-angle_turn_1_rad)","ending x-coordinate for the wall bottom of pipe out"
x_out_wall_bottom_chem_chamber_1,"x_out_1+(width_cylinder_chem_chamber_1)*cos(-angle_turn_1_rad)-(y0_in_1-y0_in_1)*sin(-angle_turn_1_rad)","ending x-coordinate for the wall bottom of the chemical reaction chamber"
x_out_wall_top_chem_chamber_1,"x_out_wall_top_out_1+(width_cylinder_chem_chamber_1)*cos(-angle_turn_1_rad)-(y_out_wall_top_out_1-y_out_wall_top_out_1)*sin(-angle_turn_1_rad)","ending x-coordinate for the wall top of the chemical reaction chamber"
x_out_wall_top_out_1,"x0_out_1+(width_cylinder_out_1)*cos(-angle_turn_1_rad)-(y0_out_1-y0_out_1)*sin(-angle_turn_1_rad)","ending x-coordinate for the wall top of pipe out"
x0_in_1,"(width_cylinder_in_1+r_in_1*sin(angle_turn_1_rad))","ending x-coordinate point of the internal arc, i.e., Circular_Arc_in"
x0_out_1,"width_cylinder_in_1+r_out_1*sin(angle_turn_1_rad)","initial x-coordinate for the wall top of pipe out"
x1_inlet_chem_chamber,"x_out_wall_top_out_1","initial x-coordinate for the inlet chemical chamber"
x2_inlet_chem_chamber,"x_out_wall_top_out_1+(width_inlet_chem_chamber_1
)*cos(-angle_turn_1_rad)-(y_out_wall_top_out_1-y_out_wall_top_out_1)*sin(-angle_turn_1_rad)","ending x-coordinate for the inlet of the chemical reaction chamber"
y_out_1,"y0_in_1+(width_cylinder_out_1)*sin(-angle_turn_1_rad)-(y0_out_1-y0_out_1)*cos(-angle_turn_1_rad)","ending y-coordinate for the wall bottom of pipe out"
y_out_wall_bottom_chem_chamber_1,"y_out_1+(width_cylinder_chem_chamber_1)*sin(-angle_turn_1_rad)-(y_out_1-y_out_1)*cos(-angle_turn_1_rad)","ending y-coordinate for the wall bottom of the chemical reaction chamber"
y_out_wall_top_chem_chamber_1,"y_out_wall_top_out_1+(width_cylinder_chem_chamber_1)*sin(-angle_turn_1_rad)-(y_out_wall_top_out_1-y_out_wall_top_out_1)*cos(-angle_turn_1_rad)","ending y-coordinate for the wall top of the chemical reaction chamber"
y_out_wall_top_out_1,"y0_out_1+(width_cylinder_out_1)*sin(-angle_turn_1_rad)-(y0_out_1-y0_out_1)*cos(-angle_turn_1_rad)","ending y-coordinate for the wall top of pipe out"
y0_in_1,"-(r_in_1*(1-cos(angle_turn_1_rad)))","ending y-coordinate point of the internal arc, i.e., Circular_Arc_in"
y0_out_1,"2*radius_cylinder_1-(r_out_1*(1-cos(angle_turn_1_rad)))","initial y-coordinate for the wall top of pipe out"
y1_inlet_chem_chamber,"y_out_wall_top_out_1","initial y-coordinate for the inlet of the chemical reaction chamber"
y1_outlet_chem_chamber,"y_out_wall_top_out_1+(width_inlet_chem_chamber_1
)*sin(-angle_turn_1_rad)-(y_out_wall_top_out_1-y_out_wall_top_out_1)*cos(-angle_turn_1_rad)","ending y-coordinate for the inlet of the chemical reaction chamber"
L_1,"21[mm]","Length of Pipe 1"
w_1,"0.112726[mm]","Length of Pipe 1"
